['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
22.0 , 4421.53846154 , 4612.82051282 , 4464.61538462 , 4209.23076923 , 4571.28205128 , 4580.0 , 4553.84615385 , 4284.61538462 , 4020.51282051 , 3869.74358974 , 4246.66666667 , 4194.87179487 , 4492.82051282 , 4497.43589744 , 1719.0 , 1693.0 , 5.105 , 0.0 , 0.0 , 0.0 , 0.0 , 

23.0 , 4423.07692308 , 4612.30769231 , 4466.15384615 , 4208.71794872 , 4570.25641026 , 4580.0 , 4553.33333333 , 4286.66666667 , 4025.12820513 , 3867.69230769 , 4247.69230769 , 4198.46153846 , 4497.94871795 , 4498.46153846 , 1720.0 , 1692.0 , 5.112 , 0.0 , 0.0 , 0.0 , 0.0 , 

24.0 , 4424.1025641 , 4613.33333333 , 4468.71794872 , 4207.17948718 , 4574.35897436 , 4577.94871795 , 4553.84615385 , 4286.15384615 , 4023.07692308 , 3868.20512821 , 4245.12820513 , 4198.46153846 , 4498.46153846 , 4496.92307692 , 1719.0 , 1692.0 , 5.12 , 0.0 , 0.0 , 0.0 , 0.0 , 

25.0 , 4424.1025641 , 4612.30769231 , 4469.23076923 , 4208.20512821 , 4575.8974359 , 4577.94871795 , 4552.82051282 , 4292.30769231 , 4026.15384615 , 3873.84615385 , 4247.69230769 , 4204.61538462 , 4500.51282051 , 4501.53846154 , 1720.0 , 1693.0 , 5.128 , 0.0 , 0.0 , 0.0 , 0.0 , 

26.0 , 4421.53846154 , 4612.30769231 , 4468.20512821 , 4209.74358974 , 4571.79487179 , 4580.0 , 4551.79487179 , 4291.79487179 , 4026.15384615 , 3872.30769231 , 4248.71794872 , 4204.61538462 , 4501.53846154 , 4501.53846154 , 1719.0 , 1693.0 , 5.136 , 0.0 , 0.0 , 0.0 , 0.0 , 

27.0 , 4422.05128205 , 4612.82051282 , 4466.15384615 , 4207.69230769 , 4569.74358974 , 4580.0 , 4552.82051282 , 4288.20512821 , 4020.0 , 3868.20512821 , 4248.20512821 , 4200.51282051 , 4500.0 , 4496.92307692 , 1720.0 , 1693.0 , 5.144 , 0.0 , 0.0 , 0.0 , 0.0 , 

28.0 , 4425.12820513 , 4611.28205128 , 4463.58974359 , 4205.12820513 , 4573.33333333 , 4581.02564103 , 4554.35897436 , 4286.66666667 , 4016.41025641 , 3866.15384615 , 4244.61538462 , 4198.97435897 , 4497.94871795 , 4495.8974359 , 1720.0 , 1691.0 , 5.152 , 0.0 , 0.0 , 0.0 , 0.0 , 

29.0 , 4421.53846154 , 4611.79487179 , 4465.64102564 , 4206.15384615 , 4575.8974359 , 4581.02564103 , 4553.33333333 , 4284.1025641 , 4018.46153846 , 3868.20512821 , 4243.07692308 , 4200.51282051 , 4496.92307692 , 4497.94871795 , 1720.0 , 1693.0 , 5.159 , 0.0 , 0.0 , 0.0 , 0.0 , 

30.0 , 4419.48717949 , 4613.33333333 , 4466.66666667 , 4208.71794872 , 4570.76923077 , 4580.0 , 4551.79487179 , 4280.51282051 , 4014.87179487 , 3868.71794872 , 4241.53846154 , 4195.8974359 , 4493.33333333 , 4494.35897436 , 1721.0 , 1692.0 , 5.167 , 0.0 , 0.0 , 0.0 , 0.0 , 

31.0 , 4422.56410256 , 4612.30769231 , 4465.12820513 , 4207.69230769 , 4569.74358974 , 4580.51282051 , 4551.79487179 , 4282.56410256 , 4014.35897436 , 3866.66666667 , 4241.53846154 , 4195.38461538 , 4492.30769231 , 4492.82051282 , 1720.0 , 1694.0 , 5.174 , 0.0 , 0.0 , 0.0 , 0.0 , 

32.0 , 4422.05128205 , 4612.82051282 , 4461.53846154 , 4207.69230769 , 4575.38461538 , 4580.51282051 , 4553.84615385 , 4277.94871795 , 4013.33333333 , 3863.07692308 , 4234.35897436 , 4190.25641026 , 4489.74358974 , 4491.28205128 , 1720.0 , 1693.0 , 5.182 , 0.0 , 0.0 , 0.0 , 0.0 , 

33.0 , 4418.46153846 , 4610.25641026 , 4463.07692308 , 4208.20512821 , 4574.87179487 , 4577.43589744 , 4553.84615385 , 4268.71794872 , 4008.71794872 , 3863.58974359 , 4233.33333333 , 4187.17948718 , 4486.66666667 , 4489.23076923 , 1720.0 , 1693.0 , 5.19 , 0.0 , 0.0 , 0.0 , 0.0 , 

34.0 , 4421.53846154 , 4607.69230769 , 4468.71794872 , 4207.69230769 , 4572.82051282 , 4577.94871795 , 4551.79487179 , 4281.53846154 , 4018.46153846 , 3870.25641026 , 4246.66666667 , 4197.94871795 , 4496.41025641 , 4498.46153846 , 1720.0 , 1692.0 , 5.198 , 0.0 , 0.0 , 0.0 , 0.0 , 

35.0 , 4423.07692308 , 4611.79487179 , 4465.12820513 , 4206.66666667 , 4574.87179487 , 4583.07692308 , 4552.30769231 , 4280.51282051 , 4014.87179487 , 3864.1025641 , 4241.02564103 , 4195.38461538 , 4495.8974359 , 4497.43589744 , 1719.0 , 1692.0 , 5.205 , 0.0 , 0.0 , 0.0 , 0.0 , 

36.0 , 4420.51282051 , 4614.35897436 , 4462.05128205 , 4207.17948718 , 4572.82051282 , 4583.07692308 , 4553.84615385 , 4276.41025641 , 4013.33333333 , 3864.1025641 , 4234.35897436 , 4193.33333333 , 4492.82051282 , 4494.35897436 , 1721.0 , 1692.0 , 5.213 , 0.0 , 0.0 , 0.0 , 0.0 , 

37.0 , 4418.97435897 , 4611.79487179 , 4464.61538462 , 4208.71794872 , 4570.25641026 , 4578.46153846 , 4552.82051282 , 4278.46153846 , 4016.92307692 , 3869.74358974 , 4238.46153846 , 4196.41025641 , 4492.82051282 , 4496.92307692 , 1719.0 , 1692.0 , 5.221 , 0.0 , 0.0 , 0.0 , 0.0 , 

38.0 , 4422.05128205 , 4610.25641026 , 4470.25641026 , 4209.74358974 , 4573.33333333 , 4577.43589744 , 4551.28205128 , 4291.28205128 , 4027.17948718 , 3873.84615385 , 4249.74358974 , 4203.07692308 , 4500.51282051 , 4504.61538462 , 1720.0 , 1694.0 , 5.229 , 0.0 , 0.0 , 0.0 , 0.0 , 

39.0 , 4422.56410256 , 4612.30769231 , 4468.20512821 , 4207.69230769 , 4574.87179487 , 4580.51282051 , 4551.79487179 , 4286.15384615 , 4017.43589744 , 3867.17948718 , 4243.07692308 , 4198.46153846 , 4497.94871795 , 4498.46153846 , 1720.0 , 1692.0 , 5.237 , 0.0 , 0.0 , 0.0 , 0.0 , 

40.0 , 4420.51282051 , 4609.74358974 , 4470.25641026 , 4207.69230769 , 4571.79487179 , 4578.97435897 , 4553.33333333 , 4289.23076923 , 4023.07692308 , 3871.28205128 , 4246.66666667 , 4206.15384615 , 4504.61538462 , 4498.46153846 , 1719.0 , 1693.0 , 5.245 , 0.0 , 0.0 , 0.0 , 0.0 , 

41.0 , 4420.0 , 4610.25641026 , 4470.25641026 , 4209.23076923 , 4573.84615385 , 4577.94871795 , 4555.38461538 , 4289.23076923 , 4024.61538462 , 3872.82051282 , 4246.15384615 , 4204.1025641 , 4505.64102564 , 4500.0 , 1720.0 , 1692.0 , 5.253 , 0.0 , 0.0 , 0.0 , 0.0 , 

42.0 , 4422.05128205 , 4611.28205128 , 4467.17948718 , 4208.71794872 , 4575.8974359 , 4578.46153846 , 4554.87179487 , 4286.15384615 , 4016.41025641 , 3870.25641026 , 4242.56410256 , 4197.43589744 , 4499.48717949 , 4498.97435897 , 1719.0 , 1693.0 , 5.261 , 0.0 , 0.0 , 0.0 , 0.0 , 

43.0 , 4423.07692308 , 4613.33333333 , 4465.64102564 , 4206.66666667 , 4571.28205128 , 4579.48717949 , 4553.33333333 , 4284.61538462 , 4016.41025641 , 3867.69230769 , 4242.56410256 , 4197.43589744 , 4497.94871795 , 4496.92307692 , 1720.0 , 1692.0 , 5.269 , 0.0 , 0.0 , 0.0 , 0.0 , 

44.0 , 4422.05128205 , 4612.82051282 , 4466.15384615 , 4207.69230769 , 4570.25641026 , 4579.48717949 , 4552.30769231 , 4282.56410256 , 4017.94871795 , 3867.69230769 , 4242.56410256 , 4197.43589744 , 4497.43589744 , 4495.8974359 , 1720.0 , 1693.0 , 5.277 , 0.0 , 0.0 , 0.0 , 0.0 , 

45.0 , 4421.53846154 , 4611.28205128 , 4465.64102564 , 4209.74358974 , 4576.41025641 , 4579.48717949 , 4553.33333333 , 4285.64102564 , 4015.38461538 , 3869.23076923 , 4240.51282051 , 4195.8974359 , 4495.38461538 , 4497.94871795 , 1720.0 , 1693.0 , 5.284 , 0.0 , 0.0 , 0.0 , 0.0 , 

46.0 , 4423.07692308 , 4611.28205128 , 4464.61538462 , 4208.71794872 , 4577.43589744 , 4580.0 , 4553.33333333 , 4283.07692308 , 4013.33333333 , 3866.15384615 , 4238.97435897 , 4193.33333333 , 4491.79487179 , 4496.41025641 , 1720.0 , 1693.0 , 5.292 , 0.0 , 0.0 , 0.0 , 0.0 , 

47.0 , 4424.1025641 , 4612.82051282 , 4466.15384615 , 4207.17948718 , 4572.82051282 , 4577.94871795 , 4552.30769231 , 4279.48717949 , 4016.92307692 , 3863.58974359 , 4239.48717949 , 4194.87179487 , 4493.33333333 , 4493.84615385 , 1720.0 , 1692.0 , 5.3 , 0.0 , 0.0 , 0.0 , 0.0 , 

48.0 , 4421.53846154 , 4612.82051282 , 4465.64102564 , 4207.69230769 , 4572.82051282 , 4576.41025641 , 4552.30769231 , 4276.41025641 , 4011.28205128 , 3864.61538462 , 4235.38461538 , 4193.33333333 , 4492.30769231 , 4491.28205128 , 1720.0 , 1693.0 , 5.308 , 0.0 , 0.0 , 0.0 , 0.0 , 

49.0 , 4421.02564103 , 4612.82051282 , 4464.1025641 , 4206.66666667 , 4575.38461538 , 4577.43589744 , 4552.30769231 , 4274.35897436 , 4006.66666667 , 3865.12820513 , 4235.38461538 , 4191.79487179 , 4490.25641026 , 4491.28205128 , 1720.0 , 1693.0 , 5.316 , 0.0 , 0.0 , 0.0 , 0.0 , 

50.0 , 4423.58974359 , 4610.76923077 , 4464.61538462 , 4206.15384615 , 4571.79487179 , 4578.46153846 , 4552.82051282 , 4271.79487179 , 4011.79487179 , 3864.61538462 , 4237.43589744 , 4191.28205128 , 4490.76923077 , 4492.30769231 , 1719.0 , 1694.0 , 5.324 , 0.0 , 0.0 , 0.0 , 0.0 , 

51.0 , 4424.1025641 , 4607.69230769 , 4465.64102564 , 4207.69230769 , 4572.30769231 , 4577.94871795 , 4553.33333333 , 4278.46153846 , 4016.92307692 , 3866.66666667 , 4239.48717949 , 4193.33333333 , 4492.30769231 , 4493.84615385 , 1720.0 , 1693.0 , 5.331 , 0.0 , 0.0 , 0.0 , 0.0 , 

52.0 , 4420.0 , 4608.71794872 , 4464.61538462 , 4207.69230769 , 4575.38461538 , 4580.0 , 4553.84615385 , 4281.53846154 , 4014.35897436 , 3865.12820513 , 4238.97435897 , 4191.28205128 , 4491.79487179 , 4493.84615385 , 1719.0 , 1693.0 , 5.339 , 0.0 , 0.0 , 0.0 , 0.0 , 

53.0 , 4420.0 , 4611.28205128 , 4464.61538462 , 4206.15384615 , 4574.87179487 , 4581.02564103 , 4553.33333333 , 4283.58974359 , 4017.43589744 , 3866.15384615 , 4243.07692308 , 4195.8974359 , 4494.35897436 , 4495.8974359 , 1720.0 , 1692.0 , 5.347 , 0.0 , 0.0 , 0.0 , 0.0 , 

54.0 , 4422.56410256 , 4612.30769231 , 4464.1025641 , 4206.15384615 , 4573.84615385 , 4580.51282051 , 4552.82051282 , 4283.58974359 , 4018.46153846 , 3868.20512821 , 4243.58974359 , 4200.0 , 4496.92307692 , 4496.92307692 , 1719.0 , 1692.0 , 5.355 , 0.0 , 0.0 , 0.0 , 0.0 , 

