Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q	Blink	LeftWink	RightWink	EyesOpen	LeftEyeLid	RightEyelid
14.000000	4355.384615	4387.179487	4406.666667	3714.358974	4383.076923	4612.307692	4628.717949	4511.282051	4015.897436	4100.512821	4517.435897	4437.435897	4261.025641	3949.743590	1736.000000	1677.000000	165.901000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
15.000000	4356.923077	4386.666667	4406.666667	3713.846154	4383.076923	4612.307692	4627.179487	4510.769231	4017.948718	4100.000000	4513.846154	4434.871795	4260.000000	3947.692308	1737.000000	1678.000000	165.902000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
16.000000	4356.410256	4385.128205	4403.076923	3711.794872	4384.615385	4610.256410	4629.230769	4507.692308	4015.897436	4100.000000	4513.846154	4432.820513	4265.128205	3947.692308	1736.000000	1678.000000	165.910000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
17.000000	4355.384615	4384.615385	4403.589744	3711.794872	4386.153846	4612.820513	4631.794872	4509.743590	4016.410256	4103.589744	4518.461538	4434.871795	4265.128205	3949.230769	1736.000000	1679.000000	165.919000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
18.000000	4354.871795	4385.641026	4408.717949	3714.358974	4386.153846	4614.871795	4629.743590	4524.102564	4027.179487	4113.846154	4523.076923	4442.564103	4266.666667	3955.897436	1736.000000	1678.000000	165.932000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
19.000000	4354.358974	4384.615385	4407.179487	3715.384615	4386.153846	4612.820513	4630.256410	4518.974359	4024.615385	4107.179487	4517.435897	4436.923077	4267.179487	3953.846154	1735.000000	1678.000000	165.935000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
20.000000	4356.923077	4383.589744	4404.615385	3713.333333	4385.641026	4611.282051	4631.282051	4527.179487	4031.282051	4115.384615	4520.512821	4441.538462	4272.820513	3958.974359	1736.000000	1679.000000	165.942000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
21.000000	4358.461538	4387.692308	4403.589744	3710.256410	4384.615385	4613.333333	4630.256410	4530.769231	4033.333333	4115.897436	4522.564103	4443.589744	4268.717949	3959.487179	1736.000000	1677.000000	165.951000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
22.000000	4356.923077	4390.256410	4408.205128	3711.794872	4385.128205	4611.794872	4630.769231	4529.743590	4033.846154	4111.282051	4522.564103	4443.589744	4266.666667	3958.461538	1736.000000	1679.000000	165.965000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
23.000000	4356.410256	4388.717949	4409.230769	3715.897436	4385.641026	4610.769231	4632.820513	4528.717949	4034.358974	4109.230769	4521.025641	4441.538462	4269.743590	3954.871795	1737.000000	1677.000000	165.966000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
