Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q	Blink	LeftWink	RightWink	EyesOpen	LeftEyeLid	RightEyelid
98.000000	4308.717949	4342.051282	4393.846154	3730.256410	4365.128205	4583.589744	4631.282051	4523.589744	4031.282051	4106.666667	4498.974359	4435.897436	4242.564103	3975.897436	1739.000000	1678.000000	35.739000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
99.000000	4313.333333	4348.205128	4391.794872	3731.282051	4366.153846	4580.512821	4630.256410	4522.564103	4032.820513	4110.256410	4498.461538	4433.333333	4244.102564	3978.461538	1738.000000	1678.000000	35.746000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
100.000000	4308.205128	4343.589744	4393.333333	3734.358974	4367.692308	4585.128205	4629.743590	4524.102564	4026.153846	4106.153846	4497.948718	4434.358974	4239.487179	3975.384615	1740.000000	1676.000000	35.755000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
101.000000	4313.333333	4350.256410	4392.820513	3733.333333	4364.102564	4584.102564	4628.205128	4521.538462	4024.102564	4104.102564	4498.974359	4433.333333	4245.641026	3977.435897	1739.000000	1678.000000	35.763000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
102.000000	4309.743590	4345.128205	4394.358974	3732.307692	4363.589744	4583.076923	4632.307692	4521.538462	4027.179487	4108.205128	4497.948718	4434.871795	4242.564103	3977.948718	1740.000000	1678.000000	35.770000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
103.000000	4308.205128	4345.128205	4391.282051	3732.820513	4367.692308	4583.589744	4632.307692	4523.076923	4026.153846	4107.179487	4495.897436	4431.282051	4244.615385	3977.948718	1739.000000	1678.000000	35.778000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
104.000000	4307.179487	4347.179487	4392.820513	3731.282051	4367.692308	4584.615385	4629.230769	4518.461538	4023.589744	4100.512821	4498.461538	4431.282051	4246.666667	3976.410256	1739.000000	1679.000000	35.786000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
105.000000	4309.743590	4348.717949	4396.923077	3729.743590	4363.076923	4584.615385	4628.205128	4516.410256	4023.589744	4100.512821	4500.512821	4437.435897	4246.666667	3976.923077	1739.000000	1677.000000	35.794000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
106.000000	4310.769231	4348.717949	4393.846154	3731.794872	4362.051282	4584.615385	4629.230769	4518.461538	4024.102564	4106.153846	4498.974359	4437.435897	4252.820513	3977.435897	1739.000000	1678.000000	35.802000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
107.000000	4307.179487	4345.128205	4392.820513	3733.333333	4364.615385	4584.615385	4631.794872	4513.333333	4020.512821	4102.564103	4497.435897	4430.256410	4250.769231	3975.897436	1740.000000	1677.000000	35.810000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
108.000000	4311.282051	4348.717949	4393.333333	3732.820513	4365.641026	4584.615385	4632.307692	4509.743590	4022.564103	4101.025641	4497.435897	4426.666667	4250.256410	3977.435897	1739.000000	1678.000000	35.817000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
109.000000	4307.179487	4344.615385	4396.410256	3733.846154	4365.128205	4586.153846	4631.794872	4513.846154	4025.128205	4102.564103	4495.897436	4432.820513	4244.102564	3975.897436	1739.000000	1678.000000	35.825000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
110.000000	4315.897436	4351.282051	4392.820513	3734.871795	4363.076923	4584.615385	4625.641026	4517.948718	4025.641026	4106.153846	4497.948718	4430.256410	4252.820513	3975.384615	1739.000000	1677.000000	35.833000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
111.000000	4310.256410	4344.615385	4393.846154	3732.820513	4362.564103	4584.102564	4630.256410	4514.358974	4022.051282	4103.589744	4498.461538	4429.743590	4242.051282	3968.717949	1740.000000	1677.000000	35.841000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
112.000000	4312.820513	4353.333333	4392.820513	3730.256410	4363.589744	4583.589744	4630.769231	4521.025641	4027.179487	4107.179487	4497.435897	4434.358974	4250.256410	3975.384615	1739.000000	1678.000000	35.849000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
113.000000	4304.615385	4347.692308	4396.410256	3733.846154	4366.666667	4584.102564	4629.743590	4524.102564	4027.692308	4107.179487	4496.410256	4437.948718	4247.692308	3976.923077	1739.000000	1678.000000	35.857000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
114.000000	4311.282051	4353.846154	4393.333333	3735.384615	4366.666667	4582.051282	4626.666667	4521.025641	4024.615385	4105.641026	4497.435897	4432.307692	4254.871795	3978.461538	1738.000000	1678.000000	35.864000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
115.000000	4307.179487	4344.102564	4396.923077	3732.820513	4364.615385	4586.153846	4631.282051	4518.461538	4026.153846	4105.641026	4498.461538	4431.794872	4245.641026	3974.358974	1739.000000	1677.000000	35.872000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
116.000000	4313.846154	4348.205128	4397.435897	3730.769231	4363.076923	4584.102564	4630.256410	4521.538462	4027.692308	4108.205128	4499.487179	4432.820513	4253.846154	3977.435897	1739.000000	1678.000000	35.878000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
117.000000	4309.230769	4343.589744	4395.897436	3732.820513	4364.102564	4582.564103	4630.769231	4523.076923	4027.179487	4106.666667	4497.435897	4435.384615	4250.769231	3977.435897	1739.000000	1677.000000	35.886000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
118.000000	4310.256410	4349.230769	4390.769231	3732.820513	4363.589744	4583.589744	4630.256410	4517.435897	4026.153846	4105.641026	4493.846154	4434.358974	4249.230769	3976.923077	1739.000000	1678.000000	35.894000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
119.000000	4309.743590	4347.692308	4392.307692	3732.307692	4363.589744	4585.641026	4631.282051	4520.000000	4025.641026	4108.717949	4497.435897	4434.871795	4247.179487	3975.384615	1740.000000	1677.000000	35.901000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
120.000000	4312.307692	4346.153846	4392.307692	3732.307692	4364.615385	4583.076923	4629.743590	4522.564103	4023.589744	4110.256410	4501.025641	4433.333333	4247.179487	3977.435897	1738.000000	1678.000000	35.909000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
121.000000	4311.282051	4344.102564	4391.794872	3731.282051	4365.641026	4583.589744	4628.717949	4518.461538	4024.102564	4107.179487	4498.974359	4432.307692	4245.128205	3976.410256	1740.000000	1677.000000	35.917000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
