Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q	Blink	LeftWink	RightWink	EyesOpen	LeftEyeLid	RightEyelid
100.000000	4358.461538	4386.153846	4407.692308	3712.820513	4385.641026	4608.717949	4630.256410	4523.076923	4027.179487	4102.564103	4515.384615	4439.487179	4266.153846	3949.743590	1737.000000	1677.000000	28.173000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
101.000000	4354.871795	4385.641026	4406.666667	3713.333333	4385.128205	4611.794872	4630.256410	4523.076923	4026.666667	4105.128205	4514.871795	4437.948718	4269.230769	3948.717949	1737.000000	1678.000000	28.180000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
102.000000	4354.358974	4386.153846	4406.666667	3714.871795	4385.641026	4614.358974	4630.256410	4522.564103	4023.589744	4104.615385	4515.897436	4436.410256	4269.230769	3953.846154	1737.000000	1678.000000	28.188000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
103.000000	4358.461538	4388.205128	4407.692308	3714.358974	4383.589744	4611.794872	4629.743590	4522.051282	4022.564103	4104.615385	4514.871795	4438.461538	4268.717949	3956.410256	1737.000000	1678.000000	28.200000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
104.000000	4358.461538	4386.666667	4408.717949	3714.358974	4384.102564	4611.794872	4630.256410	4522.564103	4024.615385	4104.615385	4515.897436	4439.487179	4268.205128	3949.230769	1738.000000	1678.000000	28.203000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
105.000000	4353.846154	4383.589744	4408.205128	3715.384615	4386.666667	4613.333333	4630.769231	4521.025641	4025.641026	4105.641026	4518.461538	4440.000000	4266.153846	3950.256410	1736.000000	1679.000000	28.211000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
106.000000	4355.897436	4385.641026	4406.153846	3713.333333	4386.666667	4615.384615	4631.282051	4522.051282	4024.615385	4106.666667	4516.923077	4437.435897	4265.641026	3955.897436	1737.000000	1678.000000	28.219000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
107.000000	4358.974359	4388.205128	4408.205128	3713.333333	4385.641026	4615.384615	4629.743590	4523.076923	4024.102564	4103.589744	4515.897436	4437.435897	4268.205128	3954.358974	1736.000000	1678.000000	28.231000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
108.000000	4356.410256	4386.666667	4410.256410	3715.897436	4386.153846	4614.871795	4630.769231	4522.564103	4025.128205	4103.076923	4518.461538	4438.461538	4269.230769	3952.820513	1737.000000	1678.000000	28.235000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
109.000000	4353.846154	4385.641026	4408.205128	3711.794872	4384.615385	4614.871795	4632.307692	4523.076923	4024.615385	4105.128205	4519.487179	4439.487179	4265.128205	3953.846154	1737.000000	1677.000000	28.243000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
