Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q	Blink	LeftWink	RightWink	EyesOpen	LeftEyeLid	RightEyelid
116.000000	4424.102564	4606.666667	4445.641026	4216.410256	4575.384615	4589.230769	4554.358974	4285.128205	4015.384615	3869.230769	4240.512821	4194.358974	4493.846154	4497.435897	1721.000000	1690.000000	38.498000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
117.000000	4417.948718	4606.666667	4441.025641	4211.282051	4576.923077	4588.717949	4555.897436	4284.102564	4013.846154	3869.743590	4241.538462	4190.769231	4494.358974	4496.923077	1720.000000	1691.000000	38.507000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
118.000000	4417.948718	4609.230769	4446.153846	4215.897436	4576.410256	4588.205128	4551.282051	4283.076923	4015.384615	3870.256410	4242.051282	4194.871795	4496.923077	4498.974359	1721.000000	1690.000000	38.517000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
119.000000	4418.974359	4604.102564	4442.051282	4217.435897	4575.384615	4589.230769	4555.384615	4285.128205	4016.923077	3869.743590	4241.538462	4190.256410	4494.871795	4498.461538	1721.000000	1690.000000	38.522000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
120.000000	4422.564103	4606.666667	4445.128205	4214.871795	4575.897436	4590.769231	4557.948718	4284.102564	4016.923077	3868.205128	4243.076923	4192.820513	4495.384615	4497.435897	1721.000000	1691.000000	38.528000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
121.000000	4420.000000	4608.205128	4442.564103	4212.820513	4579.487179	4593.333333	4558.461538	4284.102564	4016.410256	3868.717949	4241.538462	4191.282051	4496.923077	4495.897436	1721.000000	1690.000000	38.536000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
122.000000	4421.025641	4608.717949	4445.641026	4214.358974	4578.461538	4591.794872	4553.333333	4286.666667	4016.923077	3869.743590	4237.948718	4190.256410	4497.948718	4496.923077	1721.000000	1691.000000	38.544000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
123.000000	4421.025641	4603.589744	4445.128205	4211.794872	4574.871795	4588.717949	4556.923077	4287.179487	4016.410256	3869.743590	4241.025641	4191.282051	4496.410256	4496.923077	1720.000000	1690.000000	38.553000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
124.000000	4420.512821	4605.641026	4445.641026	4214.871795	4576.410256	4588.205128	4560.000000	4283.589744	4017.435897	3869.743590	4243.589744	4192.307692	4494.871795	4498.461538	1721.000000	1691.000000	38.562000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
125.000000	4420.000000	4609.743590	4447.692308	4221.025641	4578.461538	4588.717949	4553.333333	4282.051282	4017.435897	3869.230769	4240.512821	4193.333333	4495.384615	4498.461538	1721.000000	1689.000000	38.570000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
126.000000	4419.487179	4609.230769	4443.076923	4216.923077	4575.897436	4589.743590	4551.282051	4286.153846	4015.897436	3868.717949	4241.025641	4191.794872	4496.923077	4496.410256	1720.000000	1691.000000	38.577000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
127.000000	4422.051282	4607.692308	4446.666667	4210.256410	4576.410256	4591.282051	4553.846154	4286.153846	4015.384615	3869.230769	4245.641026	4195.897436	4495.897436	4497.948718	1722.000000	1690.000000	38.585000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
128.000000	4421.538462	4603.589744	4443.589744	4210.769231	4580.000000	4592.307692	4556.923077	4284.102564	4015.897436	3869.743590	4243.589744	4191.282051	4494.358974	4498.461538	1720.000000	1691.000000	38.593000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
0.000000	4423.076923	4606.153846	4446.666667	4216.410256	4576.923077	4588.205128	4552.307692	4284.102564	4016.923077	3869.743590	4241.538462	4194.358974	4494.871795	4497.948718	1722.000000	1690.000000	38.601000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
1.000000	4420.000000	4605.128205	4440.000000	4212.820513	4575.384615	4588.717949	4556.923077	4287.692308	4017.435897	3871.282051	4243.076923	4194.871795	4495.897436	4497.435897	1721.000000	1690.000000	38.609000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
2.000000	4423.076923	4608.717949	4444.102564	4213.333333	4578.461538	4589.743590	4554.871795	4284.615385	4014.358974	3870.256410	4244.615385	4194.871795	4495.384615	4500.512821	1721.000000	1691.000000	38.615000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
3.000000	4420.000000	4604.615385	4441.538462	4214.358974	4578.461538	4590.256410	4557.435897	4283.589744	4013.333333	3868.205128	4242.564103	4189.230769	4494.358974	4497.435897	1721.000000	1690.000000	38.623000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
4.000000	4422.051282	4607.179487	4447.692308	4215.384615	4574.871795	4590.256410	4553.846154	4283.076923	4016.923077	3869.230769	4240.512821	4195.897436	4496.410256	4496.410256	1721.000000	1691.000000	38.631000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
5.000000	4420.512821	4607.692308	4442.051282	4214.871795	4576.410256	4591.794872	4556.410256	4284.615385	4018.974359	3871.282051	4241.538462	4191.282051	4495.384615	4498.974359	1720.000000	1691.000000	38.639000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
6.000000	4422.051282	4611.794872	4445.128205	4217.435897	4576.923077	4592.307692	4553.333333	4282.564103	4015.897436	3869.230769	4242.564103	4190.769231	4493.846154	4501.025641	1720.000000	1691.000000	38.648000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
7.000000	4420.000000	4608.205128	4443.589744	4214.871795	4575.384615	4591.794872	4554.871795	4285.128205	4014.871795	3869.230769	4241.538462	4189.743590	4495.384615	4497.435897	1721.000000	1690.000000	38.656000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
8.000000	4420.512821	4605.128205	4446.666667	4213.846154	4575.897436	4591.282051	4555.897436	4284.615385	4016.410256	3869.743590	4241.538462	4192.820513	4496.923077	4495.384615	1721.000000	1691.000000	38.663000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
9.000000	4420.000000	4602.051282	4443.076923	4214.358974	4575.897436	4592.820513	4557.948718	4283.076923	4016.410256	3868.205128	4242.051282	4190.769231	4495.384615	4496.410256	1721.000000	1690.000000	38.671000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
10.000000	4421.538462	4606.153846	4443.589744	4214.871795	4576.923077	4592.820513	4554.358974	4285.128205	4015.897436	3868.717949	4241.538462	4191.794872	4494.871795	4498.461538	1720.000000	1691.000000	38.679000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
11.000000	4419.487179	4608.205128	4444.615385	4213.846154	4576.923077	4590.256410	4551.794872	4284.615385	4016.923077	3868.717949	4243.076923	4191.794872	4493.846154	4497.435897	1722.000000	1691.000000	38.687000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
12.000000	4418.974359	4607.692308	4445.128205	4215.384615	4576.410256	4590.769231	4553.333333	4285.128205	4018.461538	3867.692308	4242.564103	4188.717949	4494.871795	4497.435897	1721.000000	1690.000000	38.695000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
13.000000	4422.051282	4606.153846	4445.128205	4215.384615	4575.897436	4590.256410	4554.358974	4286.666667	4017.435897	3869.230769	4242.051282	4193.333333	4497.435897	4499.487179	1721.000000	1692.000000	38.702000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
14.000000	4422.564103	4606.666667	4441.538462	4215.897436	4577.435897	4589.230769	4556.410256	4288.205128	4015.897436	3870.256410	4241.025641	4192.307692	4495.384615	4498.461538	1721.000000	1690.000000	38.710000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
15.000000	4424.102564	4609.743590	4448.717949	4217.948718	4576.923077	4588.717949	4555.897436	4284.102564	4015.897436	3868.717949	4240.512821	4193.846154	4493.846154	4497.948718	1721.000000	1691.000000	38.718000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
16.000000	4420.000000	4606.666667	4444.102564	4216.923077	4575.897436	4588.717949	4557.435897	4284.102564	4016.410256	3867.692308	4240.512821	4189.743590	4493.333333	4497.948718	1721.000000	1690.000000	38.726000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
17.000000	4421.025641	4607.179487	4446.666667	4214.358974	4576.410256	4588.717949	4553.846154	4285.641026	4015.897436	3869.230769	4242.564103	4192.820513	4492.307692	4496.923077	1721.000000	1691.000000	38.734000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
18.000000	4419.487179	4605.641026	4443.076923	4211.282051	4576.410256	4591.282051	4556.410256	4285.641026	4015.384615	3870.256410	4241.538462	4188.717949	4492.820513	4495.384615	1721.000000	1690.000000	38.742000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
19.000000	4422.564103	4609.743590	4449.743590	4214.358974	4576.410256	4590.769231	4552.307692	4284.615385	4013.846154	3869.230769	4242.051282	4194.871795	4497.948718	4500.000000	1720.000000	1691.000000	38.749000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
20.000000	4421.025641	4605.641026	4441.538462	4213.333333	4575.897436	4590.769231	4554.358974	4285.128205	4015.897436	3867.692308	4243.076923	4191.794872	4495.384615	4500.000000	1722.000000	1690.000000	38.757000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
21.000000	4424.615385	4607.692308	4445.641026	4215.384615	4575.897436	4591.282051	4551.282051	4284.615385	4018.461538	3867.179487	4243.076923	4191.794872	4492.307692	4500.512821	1721.000000	1691.000000	38.765000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
22.000000	4422.051282	4607.179487	4444.615385	4216.923077	4576.410256	4590.256410	4556.410256	4287.692308	4017.435897	3868.205128	4242.051282	4189.230769	4495.384615	4499.487179	1722.000000	1691.000000	38.773000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
23.000000	4423.589744	4609.230769	4449.743590	4219.487179	4575.897436	4588.205128	4552.820513	4286.666667	4014.871795	3869.743590	4241.538462	4193.846154	4497.435897	4499.487179	1721.000000	1690.000000	38.781000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
24.000000	4422.051282	4607.179487	4443.589744	4215.897436	4575.897436	4589.230769	4554.358974	4287.179487	4014.871795	3869.743590	4242.051282	4190.769231	4494.358974	4498.461538	1721.000000	1692.000000	38.788000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
25.000000	4418.974359	4609.743590	4443.076923	4215.384615	4575.897436	4590.769231	4554.871795	4285.641026	4015.897436	3868.717949	4242.051282	4192.820513	4493.846154	4497.948718	1721.000000	1690.000000	38.796000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
